X,Y,Gush,Helka,Shem atar rashi,mispar siduri,ktuvet,Anaf peilut mezahamet,Peelut mezahemet,Matzav Minhali,Sug tipul,Status gas karka,Drisha lemigun mivnim,Moed thilat tipul,Moed sium tipul,Taarich idkun
219500,560500,1942,172,אתר אפעה,1032,אזור צפוני בא.ת. שבמישור רותם,,מטמנה,חקירה,טרם נבדק,לא נבדק ואין חשד,לא,01/01/2007,טרם הסתיים,02.08.2022
194612,543934,39073,7,מפעל פניציה,1059,אזור תעשיה ירוחם,,זכוכית,חקירה,שאיבת עדשה ,לא נבדק ויש חשד,לא,2010,טרם הסתיים,02.08.2022
218627,551244,100116,1,מפעל פריקלס,1062,"מישור רותם, מערבית לכביש 258",,כימית,חקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,,טרם הסתיים,02.08.2022
219000,552500,100116,1,מפעל רותם אמפרט,1064,"מישור רותם, מערבית לכביש 258",,כימית,חקירה,חפירה וסילוק,לא נבדק ואין חשד,לא,2009,טרם הסתיים,02.08.2022
180400,560250,100177,1,מפעל תרכובת ברום,1066,"רמת חובב, מערבית לכביש 40",,כימית,חקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,25/03/2014,טרם הסתיים,02.08.2022
180886,560344,100177,1,מפעל כימאגיס,1067,"רמת חובב, מערבית לכביש 40",,כימית,חקירה,לא נדרש,לא נבדק ויש חשד,לא,2005,טרם הסתיים,02.08.2022
169740,637821,2028,9,מפעל הקורנס,1070,רח' המדע 11,,כימית,חקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2018,טרם הסתיים,02.08.2022
169404,639254,2049,14,בית זיקוק אשדוד,1071,רח' הנפט 2,,אנרגיה,חקירה,חפירה וסילוק,לא נבדק ויש חשד,טרם נבדק,2005,טרם הסתיים,02.08.2022
182750,528300,39023,6,קצאא-נחל צין,1078,"כ- 4 ק""מ דרום-מערבית",,אנרגיה,חקירה,חפירה וסילוק,נבדק ולא נמצא זיהום,לא,13/05/2009,2018,02.08.2022
234628,548677,39688,1,מפעלי ים המלח,1117,מזרחית לכביש 90,,כימית,חקירה,אחר,לא נבדק ויש חשד,לא,2009,טרם הסתיים,02.08.2022
219280,571985,400364,2,מפעל לוכסמבורג,1118,רח' הקודחים 29,,כימית,חקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2011,טרם הסתיים,02.08.2022
182630,572960,38055,124/ד,"עמו""פ ברום",7295,רח' סעדיה מלל,,כימית,חקירה,אחר,הוכח זיהום,טרם נבדק,2010,טרם הסתיים,02.08.2022
182808,573006,38119,1,אדמה מכתשים,7353,סעדיה מלל 3,,כימית,חקירה,אחר,הוכח זיהום,טרם נבדק,2010,טרם הסתיים,02.08.2022
165900,611000,1643,11,שפך נפט - מאגר מי קולחין אשקלון,7433,חלץ,,אנרגיה,חקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2018,טרם הסתיים,02.08.2022
169400,637600,2299,9,אדמה אגן,7451,האשלג 3,,כימית,בשיקום,SVE,הוכח זיהום,טרם נבדק,2010,טרם הסתיים,02.08.2022
176940,627276,301,98," פקר יד פז גלוון בע""מ",52225,"פקר 12, אזור תעשיה קרית מלאכי, קריית מלאכי  מיקוד 7095100",,מתכת,יצא מכתב NFA ללא שיקום,חקירה וסילוק,לא נבדק ואין חשד,לא,2009,2021,02.08.2022
158221,615844,3067,17," פקר יד פז מפעלי גילוון בע""מ",52411,"המתכנן 28, א.ת. דרומי, אשקלון  מיקוד 7815200",,מתכת,בסקירה,טרם נבדק,לא נבדק ואין חשד,לא,2007,טרם הסתיים,02.08.2022
169965,638552,2298,"9, 10, 11","יהודה פלדות בע""מ (ערגול והתכה באשדוד)",52496,היוזמה 7 אשדוד,,מתכת,חקירה,לא נדרש,לא,לא,2020,טרם הסתיים,02.08.2022
176400,631200,2775,17,יהודה פלדות בני עייש,160476,פארק תעשיות ראם,,מתכת,חקירה,טרם נבדק,לא,לא,2010,2020,02.08.2022
190740,613670,34203,7,"בי.ג'י (ישראל) טכנולוגיות בע""מ",181218,בית גוברין,,כימית,חקירה,לא נדרש,לא,לא,2010,טרם הסתיים,02.08.2022
179834,612157,1839,64,"חד אסף מתכות בע""מ",8241,"רחוב אייר, קרית גת",,מתכת,הוגש מנגנון תעדוף לבדיקה,טרם נקבע,לא נבדק ואין חשד,לא,2016,טרם הסתיים,02.08.2022
166900,636370,467,"5,6,7",יונקס אשדוד UNEX,7277,"דרך לסקוב, אשדוד, נמל אשדוד",,קו דלק,חקירה,חפירה וסילוק,לא,לא,2018,2020,02.08.2022
167948,629864,2638,6,מעבדות שרון,52195,אזור התעשייה עד הלום בית זאביק,,אחר,חקירה,לא נדרש,לא נבדק ויש חשד,טרם נבדק,2015,טרם הסתיים,02.08.2022
170448,638286,2296,42,"מ.י.ש שווק וסחר 1986 בע""מ",8242,"החרושת 9, אשדוד",,כימית,-,חפירה וסילוק,------,------,2016,2018,02.08.2022
191581,384640,40023,2,רמת יותם,7367,רמת יותם אילת,,אחר,חקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2008,טרם הסתיים,02.08.2022
205650,743670,11623,4,"כרמל אולפינים בע""מ",8253,בתי הזיקוק,,אחר,בשיקום,אין צורך בטיפול,------,------,2021,טרם הסתיים,02.08.2022
204470,747287,11637,33,דור כימיקלים,2019,קצנשטיין 18 ,,כימית,בסקירה,טרם נבדק,לא נבדק ויש חשד,לא,2022,טרם הסתיים,02.08.2022
207207,742989,11620,8,אלקון- מתחם דשנים,2025,מתחם דשנים ,,כימית,שוקם ויצא מכתב NFA,חפירה וסילוק,הוכח זיהום,לא,2004,2017,02.08.2022
204900,744840,11625,10,"מתחם פטרוכימי- בז""ן",2028,"שדרות ההסתדרות, חיפה",,כימית,בשיקום,שאיבת עדשה,הוכח זיהום,לא,2020,טרם הסתיים,02.08.2022
204600,744800,11648,70,גדות ביוכימיה,2036,שדרות ההסתדרות 117,,כימית,שוקם ויצא מכתב NFA,חפירה וסילוק,הוכח זיהום,לא,2018,2019,02.08.2022
207173,743076,"11620, 11621, 11152","6,7",דשנים וחומרים כימיים,2082,אזור תעשיה קרית אתא,,כימית,בסקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,20/05/2020,טרם הסתיים,02.08.2022
196350,743250,10728,125,חישולי כרמל,2092,"רחוב נחום 10, טירת הכרמל",,מתכת,בסקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,02/02/2020,טרם הסתיים,02.08.2022
207060,746054,11588,13,כרומניקל,2098,"כביש 22 – עוקף קריות, הדשנים 17",,מתכת,בשיקום,חקירה וסילוק,נבדק ולא נמצא זיהום,לא,2011,2021,02.08.2022
207130,743050,"11620, 11621","8,6",סטרוקם,2102,"פארק תעשיה דשנים, חיפה",,כימית,לפני סקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,,,02.08.2022
207736,745548,11595,4,עמק זבולון- מפעל לציפוי מתכות,2104,"רחוב הגבורה 3, קרית אתא",,מתכת,לפני סקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,,,02.08.2022
206284,746015,"11602, 11601","2-5, 1-7",פרוטרום,2300,"רחוב השיש 25, חיפה",,כימית,בשיקום,אחר,הוכח זיהום,לא,2020,טרם הסתיים,02.08.2022
206914,746069,11548,"22,23,24",ש.ח. ציפוי אל-חלד,2304,צומת קרית אתא,,מתכת,הוגש מנגנון תעדוף לבדיקה,אחר,נבדק ולא נמצא זיהום,לא,2020,2022,02.08.2022
194525,733225,10538,12,שרפי כרמל,2308,רח' מלח הארץ עתלית,,כימית,חקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2021,טרם הסתיים,02.08.2022
205432,742963,11382,13,"אקו- אויל חץ וירומטר בע""מ",2027,"האשלג 27, חיפה",,"מט""ש",לפני סקירה,טרם נבדק,לא נבדק ויש חשד,לא,,,02.08.2022
